title,authors,year,work_id,ol_ids,isbns,isdfb_ids,n_nom,n_win
Deserted Cities of the Heart,Lewis Shiner,1989,,,,,1,0
The Visitor,Sheri S. Tepper,2003,,,,,2,0
The Fresco,Sheri S. Tepper,2001,,,,,2,0
Humans,Robert J. Sawyer,2004,,,,,1,0
Moonseed,Stephen Baxter,1999,,,,,1,0
Stars in My Pocket Like Grains of Sand,Samuel R. Delany,1985,945568,OL10570487W,0-553-05053-2;978-0-553-05053-0;978-0-8195-6714-7,,1,0
Children of God,Mary Doria Russell,1999,882029,OL2732495W,978-0-679-45635-3;0-679-45635-X,,2,0
Man Plus,Frederik Pohl,1976,357220,OL60939W,978-0-394-48676-5;0-394-48676-5,,0,1
Strangers,Gardner Dozois,1978,,OL1973740W,0-399-12095-5;978-0-399-12095-4,,1,0
Perfect Circle,Sean Stewart,2005,24233,OL17666729W,978-1-931520-07-2;1-931520-07-0,,1,0
Heathern,Jack Womack,1991,,,,,1,0
The Algebraist,Iain Banks,2005,2465248,OL8368450W,1-84149-155-1;1-59780-044-9;978-1-84149-155-4;978-1-59780-044-0,,2,0
Roderick at Random,John Sladek,1984,,,,,1,0
City on Fire,Walter Jon Williams,1997,,OL447387W,978-0-06-105213-2;0-06-105213-2,,1,0
The January Dancer,Michael F. Flynn,2009,,,,,1,0
Forty Signs of Rain,Kim Stanley Robinson,2005,962345,OL81653W,978-0-553-80311-2;0-553-80311-5,,1,0
Towing Jehovah,James Morrow,1994,,,,,1,0
The Tranquillity Alternative,Allen Steele,1997,,OL24937980M,978-0-441-00433-1;0-441-00433-4,,1,0
His Majesty's Dragon,Naomi Novik,2007,726205,OL22453117W;OL16030497W,978-0-345-48128-3;978-2-84228-293-6;978-84-672-2232-6;0-345-48128-3,,1,0
Ancillary Mercy,Ann Leckie,2015,43134689,,978-0-356-50242-7;978-0-316-24668-2;978-80-259-0787-0;0-356-50242-2,,1,0
Mockingbird,Walter Tevis,1981,313880,OL16031679W,0-385-14933-6;978-0-385-14933-4,,1,0
Expiration Date,Tim Powers,1996,589090,OL17738180W,978-0-8125-5517-2;978-0-765-31752-0;0-8125-5517-1;0-765-31752-4,,2,0
Islands in the Net,Bruce Sterling,1989,,OL1888049W,978-0-87795-952-6;0-87795-952-8,,2,1
Spin,Robert Charles Wilson,2006,47562,OL14951012W,978-0-7653-0938-9;978-2-207-25804-0;0-7653-0938-6;2-207-25804-1;0-7653-4825-X,,2,1
Bête,Adam Roberts,2015,,,,,2,0
Up the Line,Robert Silverberg,1970,909315,OL1960654W,978-0-345-32585-3;978-0-7434-4497-2;0-345-32585-0;0-7434-4497-3,,1,0
The Left Hand of Darkness,Ursula K. Le Guin,1970,817527,OL59800W;OL59864W,978-2-253-11316-4;978-1-473-22594-7,,0,2
The Ghost from the Grand Banks,Arthur C. Clarke,1991,764426,OL17392W,978-0-575-04906-2;0-575-04906-5,,1,0
Black Milk,Robert Reed,1990,,,,,1,0
Red Prophet,Orson Scott Card,1988,98069,OL9007966M,2-905158-66-2;978-2-905158-66-6,,1,0
A Storm of Swords,George R. R. Martin,2001,17243368,OL257914W,0-553-10663-5;0-00-224586-8;0-553-57342-X;3-442-24733-0;978-0-553-10663-3;978-0-00-224586-9;978-0-553-57342-8;978-80-257-2418-7;978-80-257-2419-4;978-80-257-2420-0;978-3-442-24733-2,,2,0
Superluminal,Vonda N. McIntyre,1984,,,,,1,0
Rollback,Robert J. Sawyer,2008,,,,,1,0
In the Hands of Glory,Phyllis Eisenstein,1982,,,,,1,0
Gardens of the Moon,Steven Erikson,2000,2646042,OL5734771W,0-553-81217-3;0-7653-1001-5;0-765-34878-0;2-283-01840-4;2-7021-3778-4;2-253-24231-4;978-0-553-81217-6;979-10-97270-19-3;979-10-97270-20-9;978-2-283-01840-8;978-2-7021-3778-9;978-2-253-24231-4;978-80-88321-76-7,,1,0
Midnight at the Well of Souls,Jack L. Chalker,1978,542397,OL7949892M;OL17664091W,0-7434-3522-2;978-0-7434-3522-2,,1,0
Einstein's Bridge,John G. Cramer,1998,,,,,1,0
Orbital Decay,Allen Steele,1990,,,,,1,0
Spondulix: A Romance of Hoboken,Paul Di Filippo,2005,,,,,1,0
The Shadow of the Torturer,Gene Wolfe,1981,762497,OL14871979W,978-80-277-0294-7,,1,1
The Family Tree,Sheri S. Tepper,1998,,,,,1,0
Appleseed,John Clute,2002,,,978-1-84149-100-4,,1,0
Trial by Fire,Charles E. Gannon,2014,,,,,1,0
The Golem and the Jinni,Helene Wecker,2014,21547736,,978-0-06-211083-1;0-06-211083-7,,1,0
Glasshouse,Charles Stross,2007,930588,OL2465690W,0-441-01403-8;1-84149-392-9;978-0-441-01403-3;978-1-84149-392-3,,3,0
A Deepness in the Sky,Vernor Vinge,2000,1270006,OL1975705W,978-0-312-85683-0;978-0-8125-3635-5;0-312-85683-0;0-812-53635-5,,1,2
The Sirens of Titan,Kurt Vonnegut,1960,905970,OL98485W,978-1-85798-884-0;978-0-340-02876-6;0-340-02876-9,,1,0
Marooned in Realtime,Vernor Vinge,1987,448211,OL1975718W,978-0-312-94295-3;978-0-7653-0884-9;0-765-30884-3,,2,0
Ninefox Gambit,Yoon Ha Lee,2016,,,,,1,0
Intrusion,Ken MacLeod,2013,,OL16701646W,978-1-84149-939-0;978-1-84149-940-6;1-84149-939-0,,2,0
Newton's Wake: A Space Opera,Ken MacLeod,2005,,OL14871218W,0-765-30503-8;0-7653-4422-X;978-0-7653-0503-9;978-0-7653-4422-9,,2,0
Revelation Space,Alastair Reynolds,2001,219037,OL5724837W,0-575-06875-2;2-258-05841-4;978-0-575-06875-9;978-2-258-05841-5;978-3-453-18787-0,,1,0
/,Greg Bear,1998,,,,,2,0
Cirque,Terry Carr,1977,,,,,1,0
The Memory of Earth,Orson Scott Card,1993,4092,OL49538W,0-312-93036-4;978-0-312-93036-3,,1,0
Tomorrow and Tomorrow,Charles Sheffield,1998,251044,OL13787W,978-0-553-37808-5;0-553-37808-2,,1,0
Songs from the Stars,Norman Spinrad,1981,,,,,1,0
Helliconia Spring,Brian Aldiss,1983,,,,,1,1
There Is No Darkness,"Jack C. Haldeman II, Joe Haldeman",1984,,,,,1,0
Sister Alice,Robert Reed,2004,,,,,2,0
All the Weyrs of Pern,Anne McCaffrey,1992,2341135,OL8889822M,978-2-266-05411-9;2-266-05411-2,,2,0
Ecce and Old Earth,Jack Vance,1992,40500,OL2071482W,,,1,0
The Diamond Age,Neal Stephenson,1996,2181158,OL38499W,0-553-09609-5;0-14-027037-X;978-0-553-09609-5;978-0-14-027037-2,,2,2
Time is the Simplest Thing,Clifford D. Simak,1962,,,,,1,0
The Alien Years,Robert Silverberg,1999,,,,,1,0
The Urth of the New Sun,Gene Wolfe,1988,,,,,3,0
The Speed of Dark,Elizabeth Moon,2004,1128271,OL17800711W;OL14871719W,978-1-84149-141-7;1-84149-141-1,,1,0
Inherit the Stars,James P. Hogan,1978,,,,,1,0
The Road to Corlay,"John Middleton Murry, Jr.",1979,,,,,1,0
Buyout,Alexander C. Irvine,2010,,,,,1,0
Rite of Passage,Alexei Panshin,1969,2160570,OL7647633M;OL4798474W,978-0-671-44068-8;0-671-44068-3,,1,1
11/22/63,Stephen King,2012,15553789,OL16152981W,84-01-35248-7;978-1-4516-2728-2;978-80-7593-302-7;978-84-01-35248-5,,2,0
Ilium,Dan Simmons,2004,3185401,OL1963305W,978-0-380-97893-9;978-0-380-81792-4;0-380-97893-8;0-380-81792-6,,1,1
Jack Faust,Michael Swanwick,1998,,,,,1,0
Last Call,Tim Powers,1993,2720323,OL84113W,978-0-688-10732-1;978-0-380-72846-6;0-688-10732-X,,0,1
Crystal Singer,Anne McCaffrey,1983,1173956,OL73354W,,,1,0
Tigana,Guy Gavriel Kay,1991,1907200,,978-2-84172-071-2;2-84172-071-3,,1,0
Chanur's Homecoming,C. J. Cherryh,1987,,,,,1,0
The Goblin Emperor,Sarah Monette,2014,24241248,,978-0-7653-6568-2,,1,0
The Engines of God,Jack McDevitt,1995,,,,,1,0
"Immortality, Inc.",Robert Sheckley,1959,2475814,OL1932394W,0-8125-1931-0;978-0-8125-1931-0,,1,0
Redemption Ark,Alastair Reynolds,2003,3024029,,978-0-575-06879-7;978-2-266-16280-7;978-3-453-87551-7;0-575-06879-5;2-266-16280-2,,1,0
Kiln People,David Brin,2003,2300358,OL58707W,0-7653-0355-8;978-0-7653-0355-4,,3,0
Mockingbird,Walter Tevis,1980,313880,OL16031679W,0-385-14933-6;978-0-385-14933-4,,1,0
Tower of Glass,Robert Silverberg,1971,1876968,,0-684-10544-6;978-0-684-10544-4,,1,0
The Pickup Artist,Terry Bisson,2002,,,,,1,0
Midnight Robber,Nalo Hopkinson,2000,,OL15861345W,978-0-446-67560-4;0-446-67560-1,,1,0
Polaris,Jack McDevitt,2005,,OL15856405W,0-441-01202-7;978-0-441-01202-2,,2,0
Carnival,Elizabeth Bear,2007,,,,,2,0
Jupiter War,Neal Asher,2014,,,,,1,0
Tom O'Bedlam,Robert Silverberg,1986,,,,,1,0
Hunted,James Alan Gardner,2001,,,,,1,0
What Entropy Means to Me,George Alec Effinger,1972,,,,,1,0
Phases of Gravity,Dan Simmons,1990,,,,,1,0
The Scar,China Miéville,2003,731674,OL8718787W,0-345-46001-4;0-333-78174-0;978-0-345-46001-1;978-0-333-78174-6;978-80-7617-960-8;978-2-265-07743-0;2-265-07743-7,,1,0
Distraction,Bruce Sterling,1999,,,,,3,0
A Canticle for Leibowitz,Walter M. Miller,1961,250975,OL2626638W,,,0,1
Climbing Olympus,Kevin J. Anderson,1995,,,,,1,0
Starship Troopers,Robert A. Heinlein,1960,2534973,OL59740W,0-450-02576-4;978-0-450-02576-1;978-0-441-78358-8,,0,1
Not This August,Cyril M. Kornbluth,1956,,,,,1,0
9tail Fox,Jon Courtenay Grimwood,2006,,,,,1,0
Santiago: a Myth of the Far Future,Mike Resnick,1987,1407455,OL8048087W,0-8125-2256-7;978-0-8125-2256-3;978-0-8125-5112-9,,1,0
Time Enough for Love,Robert A. Heinlein,1974,75443,OL59694W,978-0-399-11151-8;978-88-429-0334-5;0-399-11151-4;88-429-0334-5,,1,0
The Divine Invasion,Philip K. Dick,1982,1399387,OL2172392W,0-671-41776-2;978-0-671-41776-5,,1,0
Ender's Shadow,Orson Scott Card,2000,3145587,OL49663W,978-0-312-86860-4;978-2-84172-185-6;0-312-86860-X;2-84172-185-X,,1,0
Foundation's Edge,Isaac Asimov,1982,1725527,OL46302W,2-207-30357-8;84-02-09641-7;0-593-15998-5;978-0-385-17725-2;978-2-207-30357-3;978-84-02-09641-8;978-80-257-3765-1;978-80-7684-064-5;978-0-593-15998-9,,1,0
The New Moon's Arms,Nalo Hopkinson,2008,,,,,1,0
Five-Twelfths of Heaven,Melissa Scott,1986,,,,,1,0
Singularity Sky,Charles Stross,2004,1192005,OL2465688W;OL24469277W,978-0-441-01072-1;0-441-01072-5;3-453-52016-5;978-3-453-52016-5,,1,0
The Enemy Stars,Poul Anderson,1959,3063880,,,,1,0
2010: Odyssey Two,Arthur C. Clarke,1983,615175,OL17391W,0-345-31282-1;978-0-345-31282-2,,2,0
Darwin's Radio,Greg Bear,2000,2878580,OL16508W,0-345-42333-X;978-0-345-42333-7,,3,1
Night Lamp,Jack Vance,1997,,,,,1,0
The Goblin Emperor,Sarah Monette,2015,24241248,,978-0-7653-6568-2,,2,0
All Those Vanished Engines,Paul Park,2015,,,,,1,0
Xenocide,Orson Scott Card,1992,1150594,OL49673W,978-0-312-85056-2;978-2-221-07384-1;0-312-85056-5;2-221-07384-3,,2,0
The Uplift War,David Brin,1987,98235,OL58713W;OL28140680M,978-2-07-030754-8;2-07-030754-9,,1,0
In the Mouth of the Whale,Paul J. McAuley,2013,,,,,1,0
Venus Plus X,Theodore Sturgeon,1961,,,,,1,0
Helliconia Summer,Brian Aldiss,1984,,,,,1,0
The Sword of the Lictor,Gene Wolfe,1982,715928,OL14871972W,,,1,0
From the Dust Returned,Ray Bradbury,2002,1098703,OL103193W,978-0-380-97382-8;0-380-97382-0,,1,0
Drawing Blood,Poppy Z. Brite,1994,2510310,,978-84-9800-139-6;84-9800-139-0,,1,0
Halting State,Charles Stross,2008,930563,OL2465684W,978-0-441-01498-9;0-441-01498-4;978-1-84149-694-8,,1,0
Always Coming Home,Ursula K. Le Guin,1986,1554921,OL12599350M,978-2-7427-0298-5;2-7427-0298-9,,1,0
Eastern Standard Tribe,Cory Doctorow,2005,1466,OL5734713W,978-0-7653-0759-0;978-0-7653-1045-3;0-7653-0759-6,,1,0
Soldier of Aretê,Gene Wolfe,1990,,,,,1,0
We Are All Completely Beside Ourselves,Karen Joy Fowler,2013,22026398,,,,1,0
Everfair,Nisi Shawl,2016,,,,,1,0
Lord of the Two Lands,Judith Tarr,1994,,,,,1,0
A Night in the Lonesome October,Roger Zelazny,1994,,,,,1,0
Virtual Light,William Gibson,1994,953941,OL27257W,0-14-015772-7;0-670-84081-5;0-553-07499-7;978-0-14-015772-7;978-0-670-84081-6,,2,0
"Flow My Tears, the Policeman Said",Philip K. Dick,1974,949696,OL2172518W,978-80-257-3383-7;978-3-453-87403-9,,1,0
Beyond Apollo,Barry N. Malzberg,1973,,,,,0,1
Hunter of Worlds,C. J. Cherryh,1978,55649,OL60576W,978-0-87997-314-8;0-87997-314-5,,1,0
Two to Conquer,Marion Zimmer Bradley,1981,1650584,OL23747W,0-87997-540-7;978-0-87997-540-1,,1,0
Altered Carbon,Richard K. Morgan,2003,2095852,OL8698136W,2-914370-42-3;978-2-914370-42-4,,0,1
The Dark Design,Philip José Farmer,1978,2916594,OL1840409W,0-399-12031-9;978-0-399-12031-2,,1,0
Starquake,Robert L. Forward,1986,255419,OL7547351M,978-0-595-16748-7;0-595-16748-9,,1,0
The Night Sessions,Ken MacLeod,2009,2974565,,978-1-84149-648-1,,1,0
Shadow of the Giant,Orson Scott Card,2006,4088,OL49633W,978-2-84172-363-8;978-0-312-85758-5;2-84172-363-1;0-312-85758-6,,1,0
City of Golden Shadow,Tad Williams,1997,1570074,,,,1,0
Heart of the Comet,"Gregory Benford, David Brin",1987,,,,,1,0
Chthon,Piers Anthony,1967,255340,OL80871W,978-0-7388-1151-2;0-7388-1151-3,,1,0
Perfect Circle,Sean Stewart,2004,24233,OL17666729W,978-1-931520-07-2;1-931520-07-0,,1,0
To Sail Beyond the Sunset,Robert A. Heinlein,1988,347280,OL59695W,978-0-399-13267-4;0-399-13267-8,,1,0
Vortex,Robert Charles Wilson,2012,,OL16116752W,978-0-7653-2342-2;978-0-7653-6320-6,,1,0
Lincoln's Dreams,Connie Willis,1988,,,,,0,1
Tamsin,Peter S. Beagle,2000,1171083,OL26456W,0-451-45763-3;978-0-451-45763-9,,1,0
Q3052025,China Miéville,2011,14146240,,978-0-345-52449-2;978-0-230-75076-0,,1,0
When Gravity Fails,George Alec Effinger,1988,127822,,,,2,0
The Golem and the Jinni,Helene Wecker,2013,21547736,,978-0-06-211083-1;0-06-211083-7,,1,0
The Clan Corporate,Charles Stross,2007,19362,OL2465683W,0-7653-0930-0;978-0-7653-0930-3;978-2-221-10877-2,,1,0
Deepdrive,Alexander Jablokov,1999,,,,,1,0
The Stochastic Man,Robert Silverberg,1975,,OL12459174M,2-221-03841-X;978-2-221-03841-3,,1,0
Prelude to Foundation,Isaac Asimov,1989,1128436,OL46172W,84-8450-044-6;2-266-03471-5;0-593-15997-7;978-80-257-3763-7;978-80-7684-062-1;978-84-8450-044-5;978-2-266-03471-5;978-0-593-15997-2,,1,0
Emergence,David R. Palmer,1985,,,,,2,0
A Child Across the Sky,Jonathan Carroll,1990,,,,,1,0
Ancillary Justice,Ann Leckie,2013,24064628,OL17062644W,978-0-316-24662-0;978-80-259-0508-1,,0,1
Tracker,C. J. Cherryh,2016,,,978-0-7564-0909-8;0-7564-0909-8,,1,0
A Fire in the Sun,George Alec Effinger,1990,349114,OL4191364W,978-0-385-26324-5;0-385-26324-4,,2,0
The Long Tomorrow,Leigh Brackett,1956,,,,,1,0
Distress,Greg Egan,1997,151293,,978-0-575-08173-4;978-2-221-08439-7;978-3-453-15643-2;2-221-08439-X;3-453-15643-9,,1,0
City of Sorcery,Marion Zimmer Bradley,1985,1371881,OL8132429M,0-87997-962-3;978-0-87997-962-1,,1,0
Half the Day Is Night,Maureen F. McHugh,1995,,,,,1,0
Fevre Dream,George R. R. Martin,1983,2564105,OL1955940W,0-671-45577-X;0-553-38305-1;978-0-671-45577-4;978-0-553-38305-8;978-84-7002-357-6;978-0-575-08304-2,,1,0
Being Alien,Rebecca Ore,1990,,,,,1,0
Still River,Hal Clement,1988,,,,,1,0
Wave Without a Shore,C. J. Cherryh,1982,,,,,1,0
Shadow Puppets,Orson Scott Card,2003,2393951,OL49569W,978-0-7653-0017-1;978-2-84172-262-4;0-7653-0017-6;2-84172-262-7,,1,0
Engine Summer,John Crowley,1980,,,,,2,0
Red Prophet,Orson Scott Card,1989,98069,OL9007966M,2-905158-66-2;978-2-905158-66-6,,1,0
The Dosadi Experiment,Frank Herbert,1978,6983472,OL893518W;OL27260052M,978-2-221-00372-5;2-221-00372-1,,1,0
The Naked God,Peter F. Hamilton,2000,1396625,,,,1,0
A Million Open Doors,John Barnes,1993,,,,,1,0
Oath of Fealty,"Jerry Pournelle, Larry Niven",1982,910180,,,,1,0
The Year of the Quiet Sun,Wilson Tucker,1970,831015,,0-441-94201-6;978-0-441-94201-5,,1,0
A Stranger in Olondria,Sofia Samatar,2013,,,978-1-931520-76-8;978-1-61873-062-6,,1,0
Frameshift,Robert J. Sawyer,1998,,,,,1,0
The Ocean at the End of the Lane,Neil Gaiman,2013,21500681,OL16804661W,978-0-06-225565-5;978-0-06-227234-8;978-80-257-3286-1;0-06-225565-7,,1,0
The Palace,Chelsea Quinn Yarbro,1980,,,,,1,0
Picnic on Paradise,Joanna Russ,1968,,,,,1,0
Fire on the Mountain,Terry Bisson,1989,,,,,1,0
More Than Human,Theodore Sturgeon,1954,988613,OL14868317W,0-375-70371-3;978-0-375-70371-3,,0,1
Farthing,Jo Walton,2006,1884104,OL15836204W,978-0-7653-1421-5;978-0-7653-5280-4;978-4-488-27905-9;0-7653-1421-5;0-765-35280-X,,1,0
Children of the Mind,Orson Scott Card,1997,1959402,OL49463W,978-0-312-85395-2;978-2-290-30545-4;0-312-85395-5;2-290-30545-6,,1,0
Love & Sleep,John Crowley,1995,680445,OL482571W,1-59020-015-2;978-1-59020-015-5,,1,0
The Talisman,"Peter Straub, Stephen King",1985,3324421,OL14917539W;OL15119769W,978-80-7593-401-7,,1,0
Assemblers of Infinity,"Doug Beason, Kevin J. Anderson",1994,,,,,1,0
Crandolin,Anna Tambour,2013,,,,,1,0
The Sparrow,Mary Doria Russell,1997,3349153,OL2732497W,978-0-679-45150-1;0-679-45150-1,,1,0
A Deepness in the Sky,Vernor Vinge,1999,1270006,OL1975705W,978-0-312-85683-0;978-0-8125-3635-5;0-312-85683-0;0-812-53635-5,,1,0
Heavy Time,C. J. Cherryh,1992,,,,,1,0
Dark Lightning,John Varley,2015,,,,,1,0
How to Live Safely in a Science Fictional Universe,Charles Yu,2011,,,,,1,0
Sun of Suns,Karl Schroeder,2007,75218,OL5738576W,,,2,0
Finity,John Barnes,2000,,,,,1,0
Chanur's legacy,C. J. Cherryh,1993,,,,,1,0
Caliban's War,"Ty Franck, James S. A. Corey, Daniel Abraham",2013,17606541,OL16117275W,978-1-84149-990-1;978-84-666-6088-4,,1,0
Blackout,Seanan McGuire,2013,,,,,1,0
Godspeed,Charles Sheffield,1994,,,,,1,0
Birdbrain,Johanna Sinisalo,2011,,,,,1,0
Æstival Tide,Elizabeth Hand,1993,,,,,1,0
Ship of Fools,Richard Paul Russo,2002,755809,OL35714910M,2-84344-072-6;0-441-00798-8;978-2-84344-072-4;978-0-441-00798-1,,1,0
Friday,Robert A. Heinlein,1982,1415529,OL59706W,,,1,0
Shadowland,Peter Straub,1981,,,,,1,0
Darwin's Children,Greg Bear,2004,,,,,2,0
Night Sky Mine,Melissa Scott,1997,,,,,1,0
West of Eden,Harry Harrison,1985,969393,OL467221W,978-0-553-05065-3;978-80-242-6344-1;0-553-05065-6;80-7193-009-1,,1,0
Nothing Human,Nancy Kress,2004,,,,,1,0
Gardens of the Sun,Paul J. McAuley,2010,7121972,OL25556914M,0-575-07936-3;978-0-575-07936-6,,2,0
Frek and the Elixir,Rudy Rucker,2005,,,,,1,0
Crazy Time,Kate Wilhelm,1989,,,,,1,0
Parable of the Sower,Octavia E. Butler,1994,59258,OL35623W,,,1,0
The Water Knife,Paolo Bacigalupi,2016,25129883,,,,2,0
Steal Across the Sky,Nancy Kress,2010,,,,,2,0
SS-GB,Len Deighton,1980,2868369,OL2425042W,978-0-224-01606-3;0-224-01606-7,,1,0
Beggars Ride,Nancy Kress,1997,66240,OL1847175W,978-0-312-85817-9;0-312-85817-5,,1,0
The Star Fox,Poul Anderson,1965,,,,,1,0
The Pride of Chanur,C. J. Cherryh,1982,,,80-7174-739-4,,1,0
Seveneves,Neal Stephenson,2016,42299347,OL17829905W,978-80-7197-688-2,,3,0
Steam Bird,Hilbert Schenck,1985,,,,,1,0
The World Before,Karen Traviss,2006,,,,,2,0
Liege-Killer,Christopher Hinz,1988,,,,,1,0
Elvissey,Jack Womack,1994,511881,OL993504M,978-0-8021-3495-0;0-8021-3495-5,,1,0
A Civil Campaign,Lois McMaster Bujold,2000,1093445,OL56902W,978-0-671-57827-5;0-671-57827-8,,3,0
All the Bells on Earth,James Blaylock,1996,,,,,1,0
Emprise,Michael P. Kube-McDowell,1986,,,,,1,0
Ivory,Mike Resnick,1989,,,,,2,0
Koko,Peter Straub,1989,3366520,OL114302W,0-525-24660-6;978-0-525-24660-2,,0,1
The Dispossessed,Ursula K. Le Guin,1975,2684122,OL59863W,0-06-012563-2;978-0-06-012563-9;978-0-06-105488-4,,1,1
A Funeral for the Eyes of Fire,Michael Bishop,1975,,,,,1,0
"Gun, with Occasional Music",Jonathan Lethem,1994,1119922,OL74406W,978-0-15-136458-9;0-15-136458-3,,1,0
Gods of Riverworld,Philip José Farmer,1984,360866,OL1840413W,0-399-12843-3;978-0-399-12843-1,,1,0
Madouc,Jack Vance,1990,,,,,0,1
The Book of Dreams,Jack Vance,1982,755498,OL2071477W,0-87997-587-3;2-266-01217-7;978-0-87997-587-6;978-2-266-01217-1,,1,0
Evening's Empires,Paul J. McAuley,2014,,,,,2,0
Coalescent,Stephen Baxter,2004,,,,,1,0
Metropolitan,Walter Jon Williams,1996,871394,,978-2-290-30974-2;2-290-30974-5,,1,0
The Pride of Chanur,C. J. Cherryh,1983,,,80-7174-739-4,,1,0
Eden,Stanislav Lem,1990,29261,OL109515W,,,1,0
Dune,Frank Herbert,1965,3634639,OL893527W;OL893415W,1-4732-3395-X;978-1-4732-3395-9,,0,1
The Jagged Orbit,John Brunner,1969,2202667,OL3521962W,978-0-575-07052-3;978-0-02-038120-4;0-575-07052-8;0-02-038120-4,,1,0
The Day of the Klesh,M. A. Foster,1980,,,,,1,0
River of Blue Fire,Tad Williams,1999,1003667,,,,1,0
Feed,Seanan McGuire,2011,7351419,OL24283129M,978-0-316-08105-4;0-316-08105-1,,2,0
The Forgotten Beasts of Eld,Patricia A. McKillip,1975,2934,OL92493W,978-0-15-205536-3;0-15-205536-3,,0,1
2312,Kim Stanley Robinson,2012,16785236,OL16298967W,978-0-316-09812-0;978-3-453-31435-1;0-316-09812-4,,0,1
Song of Time,Ian R. MacLeod,2009,,,,,1,1
The Alteration,Kingsley Amis,1977,,,,,0,1
Pirates of the Universe,Terry Bisson,1997,,,,,1,0
Terraforming Earth,Jack Williamson,2002,,,,,1,1
The Garden of Rama,"Gentry Lee, Arthur C. Clarke",1992,876293,OL17373W,0-575-05169-8;85-209-0584-6;978-0-575-05169-0;978-0-553-07261-7;978-85-209-0584-5,,1,0
In Great Waters,Kit Whitfield,2010,,,,,1,0
Finch,Jeff VanderMeer,2010,,,978-0-9802260-1-0;978-80-257-3177-2;0-9802260-1-5,,1,0
Finches of Mars,Brian Aldiss,2014,,,,,1,0
Century Rain,Alastair Reynolds,2005,86084,OL5724829W,978-0-575-07436-1;978-0-575-07691-4;0-575-07436-1;0-575-07691-7,,1,0
The Islanders,Christopher Priest,2012,,OL16638743W,,,1,1
The Cool War,Frederik Pohl,1982,,,,,1,0
The Cat Who Walks Through Walls,Robert A. Heinlein,1986,2270807,OL21795403M,2-277-22248-8;978-2-277-22248-4,,1,0
Shadrach in the Furnace,Robert Silverberg,1976,,,,,1,0
The Book of Skulls,Robert Silverberg,1972,1876966,OL1960643W,0-684-12590-0;978-0-684-12590-9,,1,0
Ark,Stephen Baxter,2010,,OL16947555W,978-0-575-08057-7;0-575-08057-4,,1,0
Directive 51,John Barnes,2011,,,,,1,0
Grail,Elizabeth Bear,2012,,,,,1,0
The Crucible of Time,John Brunner,1984,868140,OL3521954W,978-0-345-31224-2;0-345-31224-4,,1,0
The Forbidden Tower,Marion Zimmer Bradley,1978,2741917,OL8131901M,0-87997-323-4;978-0-87997-323-0,,2,0
The Handmaid's Tale,Margaret Atwood,1986,1119185,OL675783W,,,1,0
Europe at Midnight,Dave Hutchinson,2016,,,,,2,0
The Execution Channel,Ken MacLeod,2008,2974564,,978-1-84149-349-7,,1,0
The Demolished Man,Alfred Bester,1953,1247570,OL16027965W,,,0,1
Empty Space,M. John Harrison,2013,,,,,2,0
Necroville,Ian McDonald,1995,,,,,1,0
Random Acts of Senseless Violence,Jack Womack,1995,511869,OL2753431W,0-87113-577-9;978-0-87113-577-3,,1,0
Eternity,Greg Bear,1989,1933075,OL7534877M;OL16516W,0-445-20547-4;978-0-445-20547-5,,1,0
Way Station,Clifford D. Simak,1964,348798,OL4088396W,0-02-024871-7;978-0-02-024871-2,,0,1
The Broken God,David Zindell,1994,,,,,1,0
On the Steel Breeze,Alastair Reynolds,2014,,,978-0-575-09045-3;978-0-575-09047-7;978-3-641-18616-6;978-80-242-7709-7;0-575-09047-2,,2,0
Permanence,Karl Schroeder,2003,,,,,1,0
Free Live Free,Gene Wolfe,1986,,,,,1,0
Perfume,Patrick Süskind,1987,2977727,OL10834W,,,0,1
Forever Peace,Joe Haldeman,1998,94590,OL461307W;OL271152W,978-0-441-00406-5;0-441-00406-7,,1,3
Voice of the Whirlwind,Walter Jon Williams,1988,1332683,OL15155477W,978-1-59780-087-7;1-59780-087-2,,1,0
Against Infinity,Gregory Benford,1983,,,,,1,0
The Well of Stars,Robert Reed,2005,96736,,978-1-84149-256-8;1-84149-256-6,,1,0
The Gift,Patrick O'Leary,1998,,,,,1,0
The Nonborn King,Julian May,1984,,,,,1,0
A Fall of Moondust,Arthur C. Clarke,1963,,,,,1,0
The Wooden Sea,Jonathan Carroll,2002,,,,,1,0
The Man in the High Castle,Philip K. Dick,1963,2398287,OL2172404W;OL2172403W,91-85668-14-1;978-80-257-1808-7;978-3-453-16411-6,,0,1
Blood of Ambrose,James Enge,2010,,,,,1,0
Mars,Ben Bova,1993,,,,,1,0
Moonstar Odyssey,David Gerrold,1977,,,,,1,0
Persona,Genevieve Valentine,2016,,,,,1,0
All Flesh is Grass,Clifford D. Simak,1965,2490608,OL4088312W,978-0-380-39933-8;0-380-39933-4,,1,0
Secret Passages,Paul Preuss,1998,,,,,2,0
Dr. Adder,K. W. Jeter,1985,924936,OL1852683W,978-0-312-94099-7,,1,0
Heart of Iron,Ekaterina Sedia,2012,,,,,1,0
Cryoburn,Lois McMaster Bujold,2011,10621859,OL15456503W;OL15394491W,978-1-4391-3394-1;978-84-666-4691-8;978-2-290-03262-6,,2,0
City of Pearl,Karen Traviss,2005,,,,,2,0
