work_qid,description
Q2384854,"Plot
[
edit
]


This section's plot summary 
may be 
too long or excessively detailed
.
 Please 
help improve it
 by removing unnecessary details and making it more concise.
 
(
August 2024
)
 (
Learn how and when to remove this message
)


Introduction
[
edit
]


In 
Count Zero
 Gibson presents ""a high-tech near-future of linked super-computers... [a matrix that] has given rise to ""cyberspace,"" an ""inner"" space something like a three-dimensional video display... [in a] world is dominated by multinational corporations... a few fabulously rich individuals, and the cutthroat competition between them.""
[
1
]
 Seven years after the events of 
Neuromancer
, strange things begin to happen in the Matrix, leading to the proliferation of what appear to be 
voodoo
 
gods
 (hinted to be the fractured remains of the joined AIs that were Neuromancer and Wintermute). Two powerful 
multinational corporations
, Maas Biolabs and Hosaka, are engaged in a battle for control over a powerful new technology, a biochip, using hackers and the Matrix as well as espionage and violence.



Expansive plot summary
[
edit
]


As with later Gibson works,
[
citation needed
]
 
Count Zero
 has multiple story-lines; in it, a trio of plot lines ultimately converge:
[
1
]


Thread One
:  In the southwestern US, Turner, a corporate 
mercenary soldier
, has been hired by former partner Conroy to help Christopher Mitchell, a brilliant researcher and 
bio-hacker
, make an illegal career move from Maas' corporate fortress built into a 
mesa
 in the Arizona desert to Hosaka, a rival corporation. The attempt is a disaster, and Turner ends up escaping with Angie Mitchell, the scientist's young daughter, instead. Implanted in her brain by her father, she carries the secret plans of the construction of the valuable ""biosoft"" that has made Maas so influential and powerful.  This ""biosoft"" is what multibillionaire Josef Virek (see thread three) ruthlessly pursues so that he can make an evolutionary jump to something resembling 
omniscience
 and 
immortality
. During their flight from both Maas and Hosaka agents, Turner and Angie stay with Rudy, the former's estranged brother, and Sally, his partner and caretaker. Rudy identifies a device implanted in Angie's skull: her father had apparently altered her nervous system to allow her to access the Cyberspace Matrix directly, without a ""deck"" (a computer with an interface directly into the user's brain), but she is not aware of this. During their stay, Turner has a one-night stand with Sally and then leaves with Angie. In the Sprawl he meets with Bobby's group in a shopping mall besieged by agents of Maas and Conroy.

Thread Two
:  In Barrytown, New Jersey a young amateur computer hacker, Bobby Newmark, self-named ""Count Zero"", is given a piece of black market software by some criminal associates ""to test"". When he plugs himself into the matrix and runs the program, it almost kills him. The only thing that saves his life is a sudden image of a girl made of light who interferes and unhooks him from the software just before he flatlines. After fleeing his house (which is immediately thereafter destroyed) he meets Lucas, Beauvoir, and Jackie, a group fascinated by and dedicated to the recent appearance of voodoo deities in Cyberspace, who take him into their protection as they are collectively targeted by various corporate agents. It is eventually revealed that Bobby's mysterious savior is Angie (see Thread One); the two only meet physically at the very end of the book.

Thread Three
:  Marly Krushkova, the former owner of a Paris art gallery whose reputation was destroyed when she was tricked into trying to sell a forgery, is recruited by ultra-rich, reclusive art 
patron
 Josef Virek to find the unknown creator of a series of futuristic collage boxes styled after the work of 
Joseph Cornell
. Unbeknownst to her, the reason behind Virek's interest in these boxes is related to indications of biosoft construction in the design of one, which he suspects may be contained in the others.

These plotlines come together at the end of the story. Virek—the hunter of immortality and unlimited power—becomes the hunted. It is hinted that multiple AIs inhabiting cyberspace are the fragmented, compartmentalized remains of two AIs, Neuromancer and Wintermute (introduced in the first book of Gibson's Sprawl series, 
Neuromancer
), having joined. The AIs were designed by the head of a multi-generational techno-oligarchical family, the Tessier-Ashpools. These AI units now interface with humanity in the form of different Haitian voodoo gods, as they have found these constructs to be the best representations of themselves for communicating.  Hackers worldwide are becoming aware that there is something weird loose in the cyberspace matrix, but most are reluctant to talk about (or deal with) ""voodoo spooks"" supposedly haunting cyberspace.  The ""voodoo gods"" gave Mitchell the information to develop the biosoft, instructing him to insert a biosoft modification in his daughter's brain, and then sent the Cornell boxes into the world to attract and enable the disposal of the malicious Virek.

A pair of epilogue chapters resolve the fates of the protagonists, until 
Mona Lisa Overdrive
. Angie has attained celebrity status as a simstim star, and has entered a relationship with Bobby who is employed as her 'bodyguard'. Marly has returned to Paris and now curates one of the largest art galleries in the city. Turner has returned to his childhood home (the same one occupied by Rudy and Sally earlier in the book) to raise the child conceived during his affair with Sally; Rudy was killed by Conroy's agents when they were trailing Turner and Angie.

The Cyberspace Matrix, a synergistically linked computer network of databases that encompasses all information on Earth, has become home to sentient beings. But most of humanity remains unaware.



Characters
[
edit
]


This section has multiple issues.
 Please help 
improve it
 or discuss these issues on the 
talk page
. 
(
Learn how and when to remove these messages
)




This section's plot summary 
may be 
too long or excessively detailed
.
 Please 
help improve it
 by removing unnecessary details and making it more concise.
 
(
August 2024
)
 (
Learn how and when to remove this message
)


This section 
does not 
cite
 any 
sources
.
 Please help 
improve this section
 by 
adding citations to reliable sources
. Unsourced material may be challenged and 
removed
.
 
(
August 2024
)
 (
Learn how and when to remove this message
)




 (
Learn how and when to remove this message
)


Cover of the April 1987 
Ace
 paperback edition with cover art by 
Richard Berry
.


Bobby Newmark
. At the beginning of the novel, Bobby is a small-time ""cowboy"" (
hacker
) who wants to be a big name in cyberspace. He is given what he naïvely trusts is an ""ICE breaker"" (hacking software), unaware that he is in fact being used to test some unknown software to see what it does. He is directed to use the software to infiltrate a 
black ICE
 database which nearly ends up killing him. The acronym ICE is shorthand for ""Intrusion Countermeasures Electronics"". The most formidable of these data defense networks are powerful enough to trace back and kill any hacker making an attempt to defeat them. This is legally sanctioned or is, at least, not illegal. But at the last moment Bobby is rescued, while in Cyberspace and dying, by an image of a girl, Angela Mitchell, who is somehow able to enter cyberspace without using a ""deck"" (computer).

Bobby realizes his target must now know where he lives, so he flees. Shortly after leaving his apartment, he is brutally mugged for his deck and left for dead, only to be rescued and given medical attention by the owners of the software Bobby tried out, a small group who are very interested in what happened to him in Cyberspace. Bobby and Angela (who are roughly the same age) meet at the end of the book. Bobby makes a minor appearance in the third Sprawl novel, 
Mona Lisa Overdrive
.

Turner
. Turner (the only name by which he is known in the novel) is a 
mercenary
 who is employed by various 
corporations
 to help vital employees of competing corporations ""defect"" to Turner's employers.  The novel begins with an account of a job in 
New Delhi
 in which Turner was nearly killed by a Slamhound, a type of mobile 
bomb
.  After three months of reconstructive 
surgery
 in 
Singapore
, Turner takes a vacation in 
Mexico
, where he meets and becomes sexually involved with a woman named Allison.  While on the beach with Allison, Turner sees a familiar yacht close to shore and a powerboat from the yacht approaching the beach, bearing the logo of the Hosaka Corporation.  Turner tells Allison to leave while he waits for the raft's passenger to come ashore.  He already knows that the passenger is Conroy, another mercenary with whom Turner has worked in the past.  Conroy recruits Turner for another ""extraction"" job; this time, Conroy and Turner are to help a man named Christopher Mitchell leave Maas Biolabs for Hosaka.  Mitchell carries with him the expertise to design and manufacture ""biochips"", a technology superior to the nearly ubiquitous silicon 
microprocessors
 of the era.  Maas Biolabs holds the patents and secrets to biochip technology and will use every means it can to prevent Mitchell's escape.  Conroy also reveals that Allison is a ""field 
psychologist
"" working for Hosaka to monitor Turner and help his recovery.

Turner is a disciplined professional, but is troubled by memories of past jobs that ended tragically as well as his relationship with his gifted brother Rudy (who is a reclusive 
alcoholic
 and 
drug
 addict).  Turner comes to realize that the unsuccessful attempt to ""bring over"" Christopher Mitchell from Maas to Hosaka resulted from a betrayal and suspects that Conroy is behind it.  He also recognizes that Angie Mitchell was sent out from the Maas facility by her father, and that she is in grave danger. He resolves to protect her while finding out who is pursuing her and why.

Marly Krushkhova
. Marly, prior to the beginning of the story, operated a small art gallery in Paris.  She became notorious as a result of the disgrace from attempting to sell a forged box 
assemblage
 that was supposedly a lost piece by the American sculptor 
Joseph Cornell
. She was unaware that the piece was a fake, having been duped by her then-lover Alain, the gallery's co-owner, who had embezzled money from the gallery to finance the forgery. Unemployed and living with her friend Andrea, Marly receives a job offer from the immensely wealthy businessman Josef Virek.  During her interview, conducted via a very advanced 
simstim
 link, Virek informs Marly that he has collected several remarkable box assemblages similar to those created by Cornell.  Virek then hires Marly to find out who is producing the pieces, offering her unlimited financial support during the course of her search.

Although Marly welcomes the opportunity to get out of her current situation, she does not fully trust the mysterious and secretive Virek.  This mistrust only deepens when it becomes clear that she is being followed and monitored by Virek's agents, in particular Virek's right-hand man, Paco.  Marly tries to stay a step ahead of Virek and Paco while discovering the identity of the boxes' creator.





^ 
a
 
b
 
Kirkus Staff (March 26, 1986). 
""
""Count Zero"" by William Gibson""
. 
KirkusReviews.com
. Retrieved 
August 8,
 2024
. 
Something like a cross between Gibson's hugely successful debut, Neuromancer (paperback only), and his short story about futuristic corporate dirty tricks, ""New Rose Hotel."" We're in a high-tech near-future of linked super-computers; this matrix has given rise to ""cyberspace,"" an ""inner"" space something like a three-dimensional video display (cf. the movie Tron); the world is dominated by multinational corporations, plus a few fabulously rich individuals, and the cutthroat competition between them. The three plot lines here eventually intertwine."
Q130565185,"Plot summary
[
edit
]


Creation Node
 begins in 2255 when Earth has recovered from a series of climatic and ecological disasters. Humanity has split into three socio-political alliances, the Lunar Consortium who mine whatever resources they can find on the Moon and elsewhere, the Earth-based Conservers who prohibit the use of non-renewable resources, and the Earth World Government. A group of Conservers have discovered the hypothesised 
Planet Nine
 in the 
Oort cloud
 at the outer edge of the 
Solar System
, four 
light-days
 from Earth. They left Earth 35 years ago in their 
solar powered
 craft, 
Shadow
, and have found that Planet Nine appears to be a 
primordial black hole
 that is emitting 
Hawking radiation
. Furthermore, the crew of 
Shadow
 discover that the radiation has structure, suggesting it may be a message. When they reflect the ""message"" back, the black hole changes into an Earth-like, but featureless quasi-planet. Two of the crew land on the ""planet"" to investigate and find a 
sentient
 feathered humanoid alien they name ""Feathers"".

Feathers is taken aboard 
Shadow
, and the crew wonders whether it has a message for them. But attempts to communicate with it prove fruitless, leading to speculation that Feathers itself may be a message. When news of 
Shadow
's
 discovery reaches Earth, there is a scramble to get to Planet Nine. The World Government dispatches 
Cronus
, a 
fission powered
 space liner with representatives from Earth, the Conservers, and the Lunar Consortium. To speed up the trip to Planet Nine, 
Cronus
 first travels to a 
space habitat
 in orbit around Saturn to get a 
fusion drive
 fitted. The drive is powered by 
helium-3
, which is mined in Saturn's atmosphere via a 
space elevator
 attached to the habitat.
[
a
]


Cronus
 arrives at Planet Nine. Two crew members from 
Cronus
 and two from 
Shadow
, plus Feathers land on the ""planet"". A portal opens and the landing party find themselves on a real planet under a different sky. It turns out to be Feathers' home planet, but far in the future. A god-like entity, Terminus appears in the form of a floating sphere and explains to the visitors that they are in another universe, one of many in the 
multiverse
. Terminus tells them of a plan to transform humanity's galaxy into a ""creation node"", from which an eternal cosmos would grow, one that would continually regenerate itself and never grow old and die. But Terminus cautions that the price for eternity is that their galaxy would have to be reset, destroying all life in it.

Cite error: There are 
<ref group=lower-alpha>
 tags or 
{{efn}}
 templates on this page, but the references will not show without a 
{{reflist|group=lower-alpha}}
 template or 
{{notelist}}
 template (see the 
help page
)."
Q19364507,"Plot summary
[
edit
]


Priscilla ""Hutch"" Hutchins leads a crew of space archaeologists to investigate a lost civilization on planet Maleiva III (aka Deepsix) with only a window of weeks before the planet is destroyed by the impending collision with a rogue gas giant."
Q5280467,"Plot
[
edit
]


In the near future, Heather O'Grainn is a worker in the Office of Future Threat Assessment in 
Washington
 state. A variety of groups with diverse aims, but an overlapping desire to end modern technological society (which they call the Big System), create a 
nanotech
 plague (""Daybreak"") which both destroys petroleum-based fuels, rubber and plastics and eats away any metal conductors carrying electricity. An open question in the book is whether these groups, and their shared motivations, are coordinated by some conscious actor, or whether they are an 
emergent property
 / 
meme
 that attained a 
critical mass
.

The Daybreak plague strikes, and world governments are helpless to deal with it. Industrial civilization rapidly breaks down, and tens of millions die in the U.S. alone (the global death toll measures in the billions). There is a 
presidential succession
 crisis. Just as society in the U.S. seems to start stabilizing, previously placed 
pure fusion weapons
 detonate, destroying Washington, D.C. and Chicago. This is followed by additional pure fusion weapon strikes, which are determined to be weapons that are being created on the 
Moon
 by nanotech replicators. A shadowy 
neofeudalist
 group (the ""Castle movement"") led by a reactionary billionaire may be inadvertent saviors of society... or may have some deeper involvement in things."
Q3052025,"Plot
[
edit
]


Embassytown
 takes place mostly in the city of the title, on the planet Arieka. Embassytown is a colony of a state called Bremen; and its trade goods (precious metal and alien-influenced biotech), along with Embassytown's unique position at the edge of the known universe, make it a notable colony.

Avice Benner Cho, an ""Immerser"" (a traveller on the Immer, see 
§ Style
 below for the meaning of Miéville's neologisms), has returned to her childhood home from her adventures in the ""
Out
"". On the planet of Arieka humans and other ""exots"" co-exist with the indigenous, enigmatic Ariekei—otherwise known as the Hosts. Few people can speak the language of the Ariekei (referred to only as ""Language""), as it requires the orator to speak two words at once with one mind; those humans who can are genetically engineered twins known as Ambassadors, bred solely for this purpose. The Ambassadors can be understood by the Ariekei (who do not recognise any other form of communication) allowing for trade in their valuable biotechnology. Language does not allow for lying or even speculation, Language reflects both their state of mind and reality as the Ariekei perceive it; they create literal 
similes
 by recruiting individuals to perform activities that can then become allusions in Language.  Avice herself became a simile when younger, ""the girl who was hurt in the dark and ate what was given to her"". Ariekei compete at Festivals of Lies to see who can most closely approximate speaking an untruth, an act both thrilling and highly taboo.

The relationship between humans and Ariekei has proceeded in relative tranquillity for many years. However a new Ambassador arrives, named 
⁠
Ez
/
Ra
⁠
, who despite not being twins, is able to speak Language. The speech of the new Bremen-engineered Ambassador, regardless of words spoken, intoxicates any Ariekei exposed to it, and they become addicted to the extent that they cannot live without it.

A faction of the Ariekei deafen themselves to break their addiction and begin to violently convert others, developing increasingly sophisticated gesture-based communication. Avice is drawn into a search for a solution, having a special relationship with the Ariekei as a human simile. With assistance from sympathetic Ambassadors, she trains a small group of Hosts to be able to use metaphors and eventually utter lies. Due to the interconnectedness of thought and Language, this has the effect of altering their minds and now the words of 
⁠
Ez
/
Ra
⁠
 lose their addictive properties. The two Ariekei factions reconcile; freed from the literal nature of Language, they are able to learn new forms of communication, which also allows them to speak to non-Ambassador humans."
Q5580438,"Plot
[
edit
]


The story is set in 2175 in ""The Guff,"" an ugly and violent metropolis grown from the northeastern United States. Corporations run the government, cannibalism is common, and corruption is everywhere. One character, Droney Lafferty, turns out to be a ""celebrated necrophiliac.""
[
1
]
 A ""hive"" of eight bored wealthy women (who call themselves the ""Bee-Women,"" with Regina the queen bee) thinks it would be fun to raise the Devil, so they begin dabbling in ancient satanic rituals — much of which Bester portrays through 
musical notation
. Unaware that their rites are actually working, they do not summon Satan, but create a new, interdimensional demon: the Golem
100
. 

A beast of pure evil, it is raised again each time the group practices their ritual. Growing and expanding each time, it then embarks on a rampage of rape, torture and murder. The demon is tracked through the physical and spirit worlds by three unusual people. Blaise Shima is a famous chemist with an exceptional sense of smell, which makes him invaluable to his perfumery company. When he begins behaving oddly, taking midnight walks and losing chunks of his time to amnesia, the company brings in Gretchen Nunn, a blind woman who can ""see"" through the eyes of those around her, but can also can also see into parts of the spectrum beyond normal human ability. She is also an expert in 
psychodynamics
. She keeps finding Shima adjacent to the crimes which are apparently extra-violent, extra-gory, or otherwise extra-special compared with the other violent, gory crimes of the novel. Shima eventually proves that his nose is drawn to the death-smell of the Golem
100
.

A local police officer, Subadar Ind'dni, joins them to find out what is causing the spike in violence. Ind'dni, a high-caste Hindu philosopher, is skeptical but is eventually convinced. The investigators take ""radioactive isotope"" drugs to help them with their search for the Golem
100
's alternate-dimensional origin. The Golem
100
 turns out to be a monster from the collective unconscious of the Bee-Women, who have raised a monster from their 
ids
. Gretchen takes over from Regina the position of hive queen, and they mutilate and murder Shima. The power of the Golem
100
 ultimately possesses Ind'dni and he becomes the Golem
101
.





^
 
Broderick, Damien
 (1981). 
""The Lately Great Alfred Bester""
 
(PDF)
. 
S F Commentary
. The Fanac Fan History Project
. Retrieved 
February 14,
 2024
."
Q65074348,"Plot
[
edit
]


In 1999, George Eberhart, a tabloid journalist, has been resuscitated from a suicide by a new scientific process, known as the ""Han process"".  Amidst premillennial hysteria across the United States, compounded by both biblical prophecies concerning the End of Times and 
Ufologists
 reporting sightings of giant alien spacecraft.

The resurrected George leaves both his job and his wife, Lucy, and discovers in 
Raleigh, North Carolina
 a series of unusual incidents the locals believe are angelic interventions, but that George suspects are due to alien interference with the progress of humanity.

Rev Jimmy-Don Gilray is convinced that God is send a messenger to Earth on January 1, 2000.

Both men may be correct as either the messenger may be aliens or God, or even the Devil.
[
1
]






^
 
""Book review of Good News from Outer Space by John Kessel""
."
Q3880662,"Plot
[
edit
]


Green Eyes
 is a novel in which modified bacteria bring newly dead people back to life but consume their brains.
[
1
]






^
 
 
Cite error: The named reference 
WD93
 was invoked but never defined (see the 
help page
)."
Q4355719,"Plot summary
[
edit
]


Helliconia Spring
 is a novel which is set on a planet with two suns, where each year is incredibly long.
[
1
]






^
 
 
Cite error: The named reference 
Imagine7
 was invoked but never defined (see the 
help page
)."
Q60839408,"Plot summary
[
edit
]


If the Stars are Gods
 is a collection of stories about space explorer Bradley Reynolds, involving standalone two stories of Mars exploration and alien encounters, and interconnected sections about life systems on Jupiter.
[
1
]






^
 
 
Cite error: The named reference 
SG
 was invoked but never defined (see the 
help page
)."
Q6007321,"Plot
[
edit
]


This article's plot summary 
may be 
too long or excessively detailed
.
 Please 
help improve it
 by removing unnecessary details and making it more concise.
 
(
February 2024
)
 (
Learn how and when to remove this message
)


A man named ""Aristide"" adventures in the world of Midgarth, which was created as a medieval fantasy world. 
Genetic engineering
 it has populated it with ""fantasy"" races and its physical laws do not allow for the creation of 
firearms
. Aristide is the alias Pablo Monagas Perez, one of the most important figures in human society. Over a thousand years ago Perez had been part of the team which created artificial intelligence, thus launching humanity along its path to paradise.

Accompanied by his cat Bitsy, who is really an avatar of the supercomputer Endora, he is now dedicated to studying the ""implied spaces"" of the human constructed pocket universes: the places which were created as the byproduct of desired features. While working in Midgarth, Aristide learns of a series of particularly successful bandits preying on a local trade route. They are apparently led by a band of mysterious priests and kidnap their victims, who are never seen again.

Aristide and a group of travelers confront these bandits. During the confrontation, Aristide discovers that the priests who lead the bandits are able to create wormholes which transport their opponents to an unknown location. Worried by the advanced technology that these priests have, he takes some of their remains to his friend and former lover Daljit to be analyzed. When it is determined that the priests were in fact ""pod people"", illegal artificial lifeforms, they become worried that someone is engaged in a plot to bring down civilization.

Aristide and Daljit conclude that the priests were abducting people in order to reprogram then to serve the priests' unknown masters. Checking records they discover that there has been a rash of unsolved disappearances in the archipelago universe Hawaiki. Aristide travels there where he encounters agents of the conspiracy and narrowly misses being kidnapped, although he loses Bitsy in the process. Returning to his home universe Topaz he informs the authorities, including his friend the Prime Minister, who begin an investigation. They determine that whoever is behind this must have corrupted one of the supercomputers, a terrifying prospect to people whose entire civilization is built around those machines.

It is eventually discovered that the rogue AI is Cortland, a surprising choice given that Cortland is one of the most eccentric AIs whose interests run mostly towards ontology. Before they can act on this information their opponent reveals himself. He calls himself Vindex and closes down access to the universes based on Cortland. At the same time he launches a viral zombie plague at Topaz. Aristide is forced to kill Daljit when she becomes infected with the virus and attacks him but she is soon resurrected and along with some others who perished in the plague dedicates herself to the war effort.

Aristide also dedicates himself to the war effort, volunteering to lead part of the coordinated assault against Cortland. Before the assault happens, however, he realizes that Vindex has sabotaged the resurrection machinery. All the people killed in the zombie plague have been resurrected as loyal followers of Vindex, a kind of fifth column. Before he can report his discovery he is killed by Daljit and resurrected as a loyal follower of Vindex himself. However, before he can betray Topaz the problem is discovered by the authorities who incapacitate the victims and reverse Vindex's conditioning.

Aristide goes on to lead an assault on Cortland and watches as all his men are killed. He alone survives and is brought face to face with Vindex. There, the villain reveals his identity. He is in fact Pablo Monagas Perez. His personality had been calved off centuries before to lead the human expedition to Epsilon Eridani. He relates to Aristide the story of how he and a version of Daljit had gone with millions of others to colonize Epsilon Eridani, creating a new world and a supercomputer orbiting the sun.

Along this trip, Pablo and Daljit had fallen deeply in love and Daljit had become more and more interested in exploring the origins of the universe. In doing so she discovered that our universe is, in fact, an artificial construct, just like the pocket universes that humanity created but on a much larger scale. However, before she can fully explore the implications of this shocking discovery Epsilon Eridani undergoes a stellar expansion which is labeled by those in the Sol system as ""The Big Belch"". This expansion destroys the Epsilon Eridani's orbital supercomputer and fries the day side of the artificially constructed world orbiting it.

Hundreds of millions die in the conflagration. Only those on the night side of the planet, such as Pablo, are able to survive and only by hiding in deep bunkers. Most of the survivors opt to head back to Sol, life around Epsilon Eridani no longer being possible, but their ship mysteriously vanishes along the way. Pablo remains to search for Daljit, who he hopes survived. She did not but he becomes obsessed with her work and with the idea of punishing the creators of this universe, whom he calls The Inept, for all the suffering of humanity. Returning to the Sol system, he contacts Cortland, whose interest in ontology allows Pablo to convince the computer to aid him. Pablo explains that he is not attempting to destroy human civilization, but rather to take it over so that everyone will work towards his goal: using a wormhole to travel back to the origins of the universe and punish its creators.

Aristide derides Pablo's plan as madness and is able to escape with the help of Bitsy, who has been living with Pablo since she disappeared. Aristide returns to Topaz where he informs the leadership of Vindex's plans. Before they can pursue any other action the supercomputer Aloysius is destroyed by a 
mass driver
 which Vindex had created in the 
kuiper belt
.

As the other supercomputers adjust their orbits in order to stay out of the line of fire, the authorities desperately attempt to come up with a plan to defeat Vindex. One person comes up with the idea of creating their own mass drivers within pocket universes. These would have the advantage of being undetectable to Vindex until they were actually fired.

Aristide then comes up with the idea of creating a massive pocket universe, dubbed an ""overpocket"" which will encompass the inner solar system, thus cutting Vindex off from his mass driver in the kuiper belt. With the overpocket deployed, the other supercomputers unleash their own mass drivers against Vindex and Cortland, destroying them. The book concludes with Aristide concluding that Vindex's idea of using a wormhole to travel to the beginning of time is a worthy one and that he might attempt to do it with willing allies."
Q15034501,"Plot summary
[
edit
]


The narrator Joshua—at first appearing to be just over 60 years old, wakes up May 27, 2109 in an apartment on human-settled 
Mars
. With no memory of his past, he goes to his 
werp
, a voice-activated laptop computer, and learns that his name is Joshua Ali Quare and that he was born in 1968. From this 
frame story
 and a box containing several objects from his past, Quare pieces together what he believes is true about his life leading to the early 22nd century. It is soon clear that he is unburdened by any form of 
morality
.

Joshua ran away from home early in his teens to escape his abusive father, and stayed in an upstairs apartment at Gwenny's Diner. Joshua's mother, a 
Communist party
 member, surreptitiously helped him. He entered the US Army at the behest of some Party organizers, and he was put in contact with a 
KGB
 operative who provided him with an injection to keep him from receiving or transmitting AIDS (which mutates into mutAIDS and spreads soon after, wiping out a large percentage of the population of Earth). The injection also enhanced his memory, and periodically regenerates his body, so that he becomes 10 years younger with each 15-year life period. This makes him a 
longtimer
, and gives him the side-effect of having his memory wiped after every life period.

Joshua's US Army career is spent in 
Operation Desert Storm
 (the 
First Oil War
 in the novel) and the ""Second Oil War"" which culminated in a march on 
Tehran
. After the collapse of the 
Soviet Union
, the 
KGB
 diversified and became ""the Organization,"" a counter-insurgency group that supplied technical and logistic support to every side in the Eurowar, a 
NATO
-Central European Union-Russian conflict in the early 21st century. Among the innovations of the Eurowar were 
Simulation Modeling Optimizing Targeters
 (SMOTs) a jump from 
smart weapons
 to ""brilliant weapons"" that attacked an enemy country's natural resources and means of production. These weapons cause massive environmental damage to the earth, and are the predecessors of the 
memes
. Joshua, as an agent for The Organization, begins his violent operative career with a gang rape involving US soldiers, and then sets out a series of terrorist-like missions to intensify the war. During the Eurowar, Joshua raped a woman and killed her and her family (perhaps the only disturbing memory he regrets), murdered many soldiers and civilians, suppressed science and research through rape and torture, and essentially caused mayhem along with other Organization 
longtimers
, for great sums of pay. After the Eurowar ended, Joshua took in ""Alice"", a war orphan from 
Prague
 in an incident where he got the 
dog tag
 – and inspiration for future alias – ""John Childs"".

In the 2010s, the Organization abandoned Joshua, who then joined the 
Reconstruction
 after the Eurowar and worked in 
Quito
, 
Ecuador
 on the 
GeoSync
 Cable and saw with Alice the beginning of the development of 
memes
 that would unify all countries and religions, leading to the War of the Memes (referred to in some of Barnes' other books) that culminated in the takeover of Earth by 
One True
. Alice runs away, and the Organization finds and rehires Joshua to fight in the War of the Memes, for One True. By the time One True consolidated its hold on the people of Earth, Mars, the 
Jupiter
 and 
Saturn
 systems had been colonized for decades. Joshua steals another person's ID and becomes an ecoprospector on Mars.

The best scientists and engineers of free humanity had developed the technology to unleash a 
singularity
 at the edge of the 
Solar System
 that would provide a return point in time and space for the descendants of five transfer ships sent to colonize other nearby star systems. When Joshua finally ventures forth to meet his Organization contact in Red Sands City, he's confronted by a tremendous hustle and bustle of people preparing for the transfer ship descendants to arrive from the 25th century and either destroy One True (and the population on Earth under its control) or confine it there.

A fellow Organization agent named Sadi has been in Joshua's life one way or another since the inception of the Organization. On Mars, Sadi, who's also a longtimer, meets Joshua as a woman, Sadi's original gender, and now gender of choice. This is possible due to the Organization perfecting the regeneration process, now called 'revival', which also gave Sadi complete memory recovery and a permanent 20-year-old body. From Sadi, whom Joshua had met 
as
 a woman after the Eurowar and was partnered with when Sadi was male during the War of the Memes, Joshua learns that it's possible to go through the singularity to 1988, when the technology to construct it was first built and put into orbit by the Soviets. By the time of the novel's frame story, Sadi has done this thirty times, each time changing history to his/her benefit. After Joshua's revival and a time as Sadi's lover, Joshua, who's repeatedly refused to accompany Sadi on these excursions through the singularity, (also known as a 
closed timelike curve
), is sent by her via force on a preset course through the singularity once more. Sadi claims to have brought Joshua back in time with her before, without being revived, so she could 'help' Joshua love her as obsessively as Sadi loves him. Now she wants him to experience the freedom she's had, in hopes of having him come back to her for good. Joshua makes plans when he comes back to the late 20th century to change history himself, many times over, alone."
